Format Version,1.23,Take Name,Ejemplo_Pareja,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-03-11 11.10.10.680 A. M.,Total Frames in Take,2521,Total Exported Frames,2521,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Daniel:L_Asis,Daniel:L_Asis,Daniel:L_Asis,Daniel:L_Bar1,Daniel:L_Bar1,Daniel:L_Bar1,Daniel:L_Bar2,Daniel:L_Bar2,Daniel:L_Bar2,Daniel:L_Heel,Daniel:L_Heel,Daniel:L_Heel,Daniel:L_Knee1,Daniel:L_Knee1,Daniel:L_Knee1,Daniel:L_Mall,Daniel:L_Mall,Daniel:L_Mall,Daniel:L_Met,Daniel:L_Met,Daniel:L_Met,Daniel:R_Asis,Daniel:R_Asis,Daniel:R_Asis,Daniel:R_Bar1,Daniel:R_Bar1,Daniel:R_Bar1,Daniel:R_Bar2,Daniel:R_Bar2,Daniel:R_Bar2,Daniel:R_Heel,Daniel:R_Heel,Daniel:R_Heel,Daniel:R_Knee1,Daniel:R_Knee1,Daniel:R_Knee1,Daniel:R_Mall,Daniel:R_Mall,Daniel:R_Mall,Daniel:R_Met,Daniel:R_Met,Daniel:R_Met,Daniel:Sacrum,Daniel:Sacrum,Daniel:Sacrum,Sofi:L_Asis,Sofi:L_Asis,Sofi:L_Asis,Sofi:L_Bar1,Sofi:L_Bar1,Sofi:L_Bar1,Sofi:L_Bar2,Sofi:L_Bar2,Sofi:L_Bar2,Sofi:L_Heel,Sofi:L_Heel,Sofi:L_Heel,Sofi:L_Knee1,Sofi:L_Knee1,Sofi:L_Knee1,Sofi:L_Mall,Sofi:L_Mall,Sofi:L_Mall,Sofi:L_Met,Sofi:L_Met,Sofi:L_Met,Sofi:R_Asis,Sofi:R_Asis,Sofi:R_Asis,Sofi:R_Bar1,Sofi:R_Bar1,Sofi:R_Bar1,Sofi:R_Bar2,Sofi:R_Bar2,Sofi:R_Bar2,Sofi:R_Heel,Sofi:R_Heel,Sofi:R_Heel,Sofi:R_Knee1,Sofi:R_Knee1,Sofi:R_Knee1,Sofi:R_Mall,Sofi:R_Mall,Sofi:R_Mall,Sofi:R_Met,Sofi:R_Met,Sofi:R_Met,Sofi:Sacrum,Sofi:Sacrum,Sofi:Sacrum
,ID,"99B7B2A2A15911ECAE1DCBFBED4C22B3","99B7B2A2A15911ECAE1DCBFBED4C22B3","99B7B2A2A15911ECAE1DCBFBED4C22B3","99B7B2BBA15911ECAE1DCBFBED4C22B3","99B7B2BBA15911ECAE1DCBFBED4C22B3","99B7B2BBA15911ECAE1DCBFBED4C22B3","A012CDB1A15911ECAE1DCBFBED4C22B3","A012CDB1A15911ECAE1DCBFBED4C22B3","A012CDB1A15911ECAE1DCBFBED4C22B3","A012CDB5A15911ECAE1DCBFBED4C22B3","A012CDB5A15911ECAE1DCBFBED4C22B3","A012CDB5A15911ECAE1DCBFBED4C22B3","A012CDAFA15911ECAE1DCBFBED4C22B3","A012CDAFA15911ECAE1DCBFBED4C22B3","A012CDAFA15911ECAE1DCBFBED4C22B3","A012CDB3A15911ECAE1DCBFBED4C22B3","A012CDB3A15911ECAE1DCBFBED4C22B3","A012CDB3A15911ECAE1DCBFBED4C22B3","A69A04E5A15911ECAE1DCBFBED4C22B3","A69A04E5A15911ECAE1DCBFBED4C22B3","A69A04E5A15911ECAE1DCBFBED4C22B3","99B7B2A1A15911ECAE1DCBFBED4C22B3","99B7B2A1A15911ECAE1DCBFBED4C22B3","99B7B2A1A15911ECAE1DCBFBED4C22B3","99B7B2A3A15911ECAE1DCBFBED4C22B3","99B7B2A3A15911ECAE1DCBFBED4C22B3","99B7B2A3A15911ECAE1DCBFBED4C22B3","A012CDB0A15911ECAE1DCBFBED4C22B3","A012CDB0A15911ECAE1DCBFBED4C22B3","A012CDB0A15911ECAE1DCBFBED4C22B3","A012CDB4A15911ECAE1DCBFBED4C22B3","A012CDB4A15911ECAE1DCBFBED4C22B3","A012CDB4A15911ECAE1DCBFBED4C22B3","A012CDAEA15911ECAE1DCBFBED4C22B3","A012CDAEA15911ECAE1DCBFBED4C22B3","A012CDAEA15911ECAE1DCBFBED4C22B3","A012CDB2A15911ECAE1DCBFBED4C22B3","A012CDB2A15911ECAE1DCBFBED4C22B3","A012CDB2A15911ECAE1DCBFBED4C22B3","A69A04E4A15911ECAE1DCBFBED4C22B3","A69A04E4A15911ECAE1DCBFBED4C22B3","A69A04E4A15911ECAE1DCBFBED4C22B3","99B7B2A0A15911ECAE1DCBFBED4C22B3","99B7B2A0A15911ECAE1DCBFBED4C22B3","99B7B2A0A15911ECAE1DCBFBED4C22B3","D852AECDA15511ECAE1DCBFBED4C22B3","D852AECDA15511ECAE1DCBFBED4C22B3","D852AECDA15511ECAE1DCBFBED4C22B3","D852AECFA15511ECAE1DCBFBED4C22B3","D852AECFA15511ECAE1DCBFBED4C22B3","D852AECFA15511ECAE1DCBFBED4C22B3","DED9E439A15511ECAE1DCBFBED4C22B3","DED9E439A15511ECAE1DCBFBED4C22B3","DED9E439A15511ECAE1DCBFBED4C22B3","DED9E43DA15511ECAE1DCBFBED4C22B3","DED9E43DA15511ECAE1DCBFBED4C22B3","DED9E43DA15511ECAE1DCBFBED4C22B3","DED9E437A15511ECAE1DCBFBED4C22B3","DED9E437A15511ECAE1DCBFBED4C22B3","DED9E437A15511ECAE1DCBFBED4C22B3","DED9E43BA15511ECAE1DCBFBED4C22B3","DED9E43BA15511ECAE1DCBFBED4C22B3","DED9E43BA15511ECAE1DCBFBED4C22B3","E5358A07A15511ECAE1DCBFBED4C22B3","E5358A07A15511ECAE1DCBFBED4C22B3","E5358A07A15511ECAE1DCBFBED4C22B3","D852AECCA15511ECAE1DCBFBED4C22B3","D852AECCA15511ECAE1DCBFBED4C22B3","D852AECCA15511ECAE1DCBFBED4C22B3","D852AECEA15511ECAE1DCBFBED4C22B3","D852AECEA15511ECAE1DCBFBED4C22B3","D852AECEA15511ECAE1DCBFBED4C22B3","DED9E438A15511ECAE1DCBFBED4C22B3","DED9E438A15511ECAE1DCBFBED4C22B3","DED9E438A15511ECAE1DCBFBED4C22B3","DED9E43CA15511ECAE1DCBFBED4C22B3","DED9E43CA15511ECAE1DCBFBED4C22B3","DED9E43CA15511ECAE1DCBFBED4C22B3","D852AED0A15511ECAE1DCBFBED4C22B3","D852AED0A15511ECAE1DCBFBED4C22B3","D852AED0A15511ECAE1DCBFBED4C22B3","DED9E43AA15511ECAE1DCBFBED4C22B3","DED9E43AA15511ECAE1DCBFBED4C22B3","DED9E43AA15511ECAE1DCBFBED4C22B3","E5358A06A15511ECAE1DCBFBED4C22B3","E5358A06A15511ECAE1DCBFBED4C22B3","E5358A06A15511ECAE1DCBFBED4C22B3","D852AECBA15511ECAE1DCBFBED4C22B3","D852AECBA15511ECAE1DCBFBED4C22B3","D852AECBA15511ECAE1DCBFBED4C22B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.829424,0.993079,-0.664881,-0.890062,0.772246,-0.565799,-0.901656,0.379295,-0.513275,-0.786399,0.051214,-0.430907,-0.862716,0.491113,-0.530474,-0.839714,0.100125,-0.498475,-0.804751,0.071948,-0.679055,-0.519170,0.999240,-0.640254,-0.484508,0.803389,-0.538067,-0.482325,0.372598,-0.490912,-0.606699,0.041918,-0.437565,-0.517489,0.509705,-0.521952,-0.545882,0.087285,-0.505693,-0.568711,0.070149,-0.690403,-0.700355,1.001260,-0.454143,0.369327,0.937165,-0.356323,0.311029,0.824383,-0.273742,0.306703,0.377437,-0.229449,0.424784,0.066508,-0.142172,0.348736,0.461113,-0.232324,0.375659,0.094064,-0.211419,0.416653,0.070885,-0.357634,0.642906,0.941814,-0.356201,0.697823,0.801586,-0.239047,0.690532,0.362529,-0.216204,0.585125,0.066492,-0.138468,0.648199,0.457088,-0.221514,0.628202,0.103270,-0.219554,0.601013,0.070908,-0.348735,0.495035,0.968735,-0.159864
1,0.010000,-0.829844,0.992772,-0.664876,-0.890120,0.772217,-0.565760,-0.901702,0.379288,-0.513230,-0.786367,0.051244,-0.430886,-0.862740,0.491164,-0.530405,-0.839684,0.100146,-0.498468,-0.804690,0.071940,-0.679046,-0.519515,0.999108,-0.641019,-0.484710,0.803227,-0.538136,-0.482213,0.372577,-0.491249,-0.606741,0.041918,-0.437471,-0.517736,0.509846,-0.522083,-0.545896,0.087297,-0.505687,-0.568722,0.070125,-0.690444,-0.700270,1.001308,-0.454149,0.369275,0.937155,-0.356275,0.310997,0.824391,-0.273717,0.306746,0.377281,-0.229557,0.425060,0.066413,-0.142116,0.348718,0.461111,-0.232314,0.375521,0.093922,-0.211626,0.416678,0.070910,-0.357645,0.642855,0.941828,-0.356125,0.697664,0.801633,-0.238938,0.690601,0.362556,-0.216314,0.585042,0.066405,-0.138405,0.648127,0.457155,-0.221455,0.628120,0.103328,-0.219568,0.600985,0.070987,-0.348707,0.494972,0.968748,-0.159798
2,0.020000,-0.830274,0.992480,-0.664818,-0.890181,0.772184,-0.565721,-0.901752,0.379272,-0.513189,-0.786333,0.051276,-0.430862,-0.862763,0.491215,-0.530335,-0.839652,0.100163,-0.498461,-0.804633,0.071935,-0.679037,-0.519767,0.999013,-0.641642,-0.484924,0.803053,-0.538194,-0.482082,0.372550,-0.491609,-0.606788,0.041920,-0.437366,-0.518014,0.509970,-0.522179,-0.545912,0.087310,-0.505676,-0.568738,0.070099,-0.690493,-0.700188,1.001377,-0.454143,0.369223,0.937145,-0.356228,0.310966,0.824398,-0.273692,0.306785,0.377133,-0.229657,0.425331,0.066323,-0.142061,0.348700,0.461109,-0.232303,0.375387,0.093787,-0.211822,0.416702,0.070934,-0.357655,0.642804,0.941842,-0.356050,0.697506,0.801680,-0.238830,0.690672,0.362584,-0.216426,0.584967,0.066328,-0.138349,0.648055,0.457223,-0.221396,0.628039,0.103385,-0.219581,0.600956,0.071063,-0.348680,0.494909,0.968760,-0.159732
3,0.030000,-0.830646,0.992252,-0.664745,-0.890240,0.772151,-0.565674,-0.901803,0.379252,-0.513151,-0.786296,0.051319,-0.430832,-0.862784,0.491258,-0.530264,-0.839622,0.100176,-0.498455,-0.804594,0.071944,-0.679030,-0.519907,0.998967,-0.642101,-0.485169,0.802848,-0.538230,-0.481912,0.372514,-0.492016,-0.606841,0.041918,-0.437241,-0.518343,0.510091,-0.522241,-0.545929,0.087328,-0.505659,-0.568755,0.070076,-0.690544,-0.700110,1.001467,-0.454122,0.369173,0.937138,-0.356179,0.310934,0.824404,-0.273666,0.306817,0.377003,-0.229743,0.425585,0.066240,-0.142008,0.348681,0.461107,-0.232291,0.375257,0.093657,-0.212008,0.416723,0.070956,-0.357664,0.642754,0.941856,-0.355973,0.697353,0.801727,-0.238723,0.690746,0.362612,-0.216540,0.584907,0.066269,-0.138304,0.647983,0.457291,-0.221335,0.627963,0.103440,-0.219594,0.600929,0.071136,-0.348653,0.494846,0.968772,-0.159666
4,0.040000,-0.830944,0.992094,-0.664687,-0.890284,0.772127,-0.565596,-0.901843,0.379239,-0.513104,-0.786255,0.051385,-0.430791,-0.862806,0.491288,-0.530192,-0.839600,0.100184,-0.498449,-0.804578,0.071961,-0.679024,-0.519948,0.998969,-0.642423,-0.485420,0.802636,-0.538253,-0.481677,0.372465,-0.492503,-0.606899,0.041918,-0.437108,-0.518676,0.510229,-0.522274,-0.545951,0.087354,-0.505633,-0.568765,0.070063,-0.690578,-0.700034,1.001563,-0.454088,0.369125,0.937134,-0.356131,0.310902,0.824409,-0.273639,0.306840,0.376894,-0.229811,0.425811,0.066168,-0.141960,0.348661,0.461103,-0.232279,0.375131,0.093532,-0.212187,0.416741,0.070974,-0.357670,0.642702,0.941869,-0.355893,0.697210,0.801772,-0.238619,0.690823,0.362641,-0.216655,0.584866,0.066232,-0.138273,0.647912,0.457356,-0.221273,0.627894,0.103489,-0.219604,0.600904,0.071202,-0.348628,0.494784,0.968782,-0.159601
5,0.050000,-0.831196,0.991981,-0.664632,-0.890309,0.772119,-0.565479,-0.901870,0.379241,-0.513044,-0.786199,0.051470,-0.430762,-0.862836,0.491305,-0.530120,-0.839590,0.100186,-0.498441,-0.804572,0.071973,-0.679018,-0.519889,0.999026,-0.642627,-0.485603,0.802484,-0.538294,-0.481420,0.372414,-0.493006,-0.606960,0.041944,-0.436992,-0.518900,0.510365,-0.522254,-0.545973,0.087386,-0.505605,-0.568763,0.070064,-0.690585,-0.699967,1.001644,-0.454057,0.369080,0.937132,-0.356081,0.310869,0.824412,-0.273611,0.306852,0.376809,-0.229860,0.425999,0.066107,-0.141919,0.348639,0.461099,-0.232264,0.375013,0.093409,-0.212361,0.416754,0.070988,-0.357675,0.642648,0.941880,-0.355809,0.697083,0.801813,-0.238519,0.690900,0.362670,-0.216766,0.584841,0.066213,-0.138252,0.647847,0.457415,-0.221212,0.627840,0.103529,-0.219611,0.600883,0.071255,-0.348606,0.494723,0.968789,-0.159538
