Format Version,1.23,Take Name,Paola_pasillo_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-10-14 05.37.29.050 P. M.,Total Frames in Take,1773,Total Exported Frames,1773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Paola:L_Asis,Paola:L_Asis,Paola:L_Asis,Paola:L_Bar1,Paola:L_Bar1,Paola:L_Bar1,Paola:L_Bar2,Paola:L_Bar2,Paola:L_Bar2,Paola:L_Heel,Paola:L_Heel,Paola:L_Heel,Paola:L_Knee1,Paola:L_Knee1,Paola:L_Knee1,Paola:L_Mall,Paola:L_Mall,Paola:L_Mall,Paola:L_Met,Paola:L_Met,Paola:L_Met,Paola:R_Asis,Paola:R_Asis,Paola:R_Asis,Paola:R_Bar1,Paola:R_Bar1,Paola:R_Bar1,Paola:R_Bar2,Paola:R_Bar2,Paola:R_Bar2,Paola:R_Heel,Paola:R_Heel,Paola:R_Heel,Paola:R_Knee1,Paola:R_Knee1,Paola:R_Knee1,Paola:R_Mall,Paola:R_Mall,Paola:R_Mall,Paola:R_Met,Paola:R_Met,Paola:R_Met,Paola:Sacrum,Paola:Sacrum,Paola:Sacrum
,ID,"D6A3AB004C1111EDAE1DCBFBED4C4BB3","D6A3AB004C1111EDAE1DCBFBED4C4BB3","D6A3AB004C1111EDAE1DCBFBED4C4BB3","D6A3AB024C1111EDAE1DCBFBED4C4BB3","D6A3AB024C1111EDAE1DCBFBED4C4BB3","D6A3AB024C1111EDAE1DCBFBED4C4BB3","DD1E92124C1111EDAE1DCBFBED4C4BB3","DD1E92124C1111EDAE1DCBFBED4C4BB3","DD1E92124C1111EDAE1DCBFBED4C4BB3","DD1E922D4C1111EDAE1DCBFBED4C4BB3","DD1E922D4C1111EDAE1DCBFBED4C4BB3","DD1E922D4C1111EDAE1DCBFBED4C4BB3","D6A3AB044C1111EDAE1DCBFBED4C4BB3","D6A3AB044C1111EDAE1DCBFBED4C4BB3","D6A3AB044C1111EDAE1DCBFBED4C4BB3","DD1E92144C1111EDAE1DCBFBED4C4BB3","DD1E92144C1111EDAE1DCBFBED4C4BB3","DD1E92144C1111EDAE1DCBFBED4C4BB3","DD1E922F4C1111EDAE1DCBFBED4C4BB3","DD1E922F4C1111EDAE1DCBFBED4C4BB3","DD1E922F4C1111EDAE1DCBFBED4C4BB3","D6A3AAFF4C1111EDAE1DCBFBED4C4BB3","D6A3AAFF4C1111EDAE1DCBFBED4C4BB3","D6A3AAFF4C1111EDAE1DCBFBED4C4BB3","D6A3AB014C1111EDAE1DCBFBED4C4BB3","D6A3AB014C1111EDAE1DCBFBED4C4BB3","D6A3AB014C1111EDAE1DCBFBED4C4BB3","D6A3AB054C1111EDAE1DCBFBED4C4BB3","D6A3AB054C1111EDAE1DCBFBED4C4BB3","D6A3AB054C1111EDAE1DCBFBED4C4BB3","DD1E922C4C1111EDAE1DCBFBED4C4BB3","DD1E922C4C1111EDAE1DCBFBED4C4BB3","DD1E922C4C1111EDAE1DCBFBED4C4BB3","D6A3AB034C1111EDAE1DCBFBED4C4BB3","D6A3AB034C1111EDAE1DCBFBED4C4BB3","D6A3AB034C1111EDAE1DCBFBED4C4BB3","DD1E92134C1111EDAE1DCBFBED4C4BB3","DD1E92134C1111EDAE1DCBFBED4C4BB3","DD1E92134C1111EDAE1DCBFBED4C4BB3","DD1E922E4C1111EDAE1DCBFBED4C4BB3","DD1E922E4C1111EDAE1DCBFBED4C4BB3","DD1E922E4C1111EDAE1DCBFBED4C4BB3","D6A3AAFE4C1111EDAE1DCBFBED4C4BB3","D6A3AAFE4C1111EDAE1DCBFBED4C4BB3","D6A3AAFE4C1111EDAE1DCBFBED4C4BB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.094804,0.852827,1.170647,-0.176230,0.682261,1.246134,-0.152177,0.277234,1.287408,-0.047119,0.043845,1.347142,-0.116164,0.435258,1.273440,-0.094604,0.069216,1.291165,-0.095677,0.051909,1.157379,0.173062,0.843384,1.195256,0.228243,0.689579,1.273046,0.174567,0.251591,1.318283,0.053599,0.049581,1.373796,0.149936,0.430339,1.292016,0.108382,0.069494,1.330214,0.099167,0.050340,1.181787,0.018805,0.893577,1.375536
1,0.010000,-0.093323,0.852675,1.170635,-0.177647,0.683403,1.246798,-0.152043,0.277434,1.286464,-0.047219,0.044013,1.347122,-0.115961,0.435362,1.272348,-0.095049,0.069485,1.291200,-0.095792,0.051794,1.157303,0.173399,0.843408,1.195567,0.228468,0.689524,1.273255,0.174676,0.251460,1.317693,0.053623,0.049553,1.373749,0.150255,0.430187,1.291492,0.108432,0.069471,1.330162,0.099203,0.050248,1.181762,0.019000,0.893694,1.375610
2,0.020000,-0.092060,0.852663,1.170706,-0.178547,0.684224,1.247214,-0.151876,0.277689,1.285507,-0.047325,0.044194,1.347101,-0.115768,0.435474,1.271215,-0.095533,0.069783,1.291242,-0.095919,0.051657,1.157223,0.173717,0.843441,1.195875,0.228667,0.689492,1.273481,0.174784,0.251333,1.317102,0.053640,0.049533,1.373701,0.150568,0.430047,1.290963,0.108477,0.069451,1.330110,0.099226,0.050174,1.181740,0.019191,0.893829,1.375689
3,0.030000,-0.091055,0.852745,1.170819,-0.179049,0.684794,1.247447,-0.151666,0.278047,1.284555,-0.047438,0.044398,1.347082,-0.115591,0.435603,1.270006,-0.096012,0.070085,1.291266,-0.096067,0.051475,1.157132,0.174009,0.843490,1.196184,0.228832,0.689478,1.273724,0.174885,0.251217,1.316517,0.053647,0.049524,1.373652,0.150864,0.429921,1.290436,0.108515,0.069438,1.330060,0.099235,0.050124,1.181724,0.019374,0.893989,1.375777
4,0.040000,-0.090224,0.852806,1.170948,-0.179463,0.685299,1.247654,-0.151493,0.278456,1.283556,-0.047557,0.044628,1.347065,-0.115424,0.435747,1.268691,-0.096350,0.070312,1.291213,-0.096244,0.051230,1.157019,0.174278,0.843553,1.196496,0.228980,0.689461,1.273979,0.174974,0.251115,1.315955,0.053644,0.049522,1.373598,0.151131,0.429804,1.289924,0.108543,0.069428,1.330012,0.099230,0.050097,1.181711,0.019545,0.894174,1.375877
5,0.050000,-0.089577,0.852978,1.171059,-0.179654,0.685659,1.247765,-0.151397,0.278872,1.282445,-0.047679,0.044888,1.347051,-0.115254,0.435899,1.267251,-0.096480,0.070426,1.291052,-0.096454,0.050906,1.156872,0.174524,0.843615,1.196803,0.229123,0.689433,1.274240,0.175045,0.251019,1.315430,0.053629,0.049516,1.373537,0.151364,0.429696,1.289441,0.108564,0.069418,1.329967,0.099222,0.050081,1.181700,0.019707,0.894377,1.375990
